,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,9.0,2023-04-19 10:04:41.495685,2023-04-19 10:04:55.951923,0 days 00:00:14.456238,relu,9,0.07596367487605747,0.20749523107091858,0.3780465346134648,tiny,0.9240363251239425,512,COMPLETE
1,1,9.8,2023-04-19 10:04:55.952653,2023-04-19 10:05:15.183604,0 days 00:00:19.230951,tanh,4,0.07750879100038735,0.5175941528099801,3.0770647851745645,small,0.9224912089996127,16,COMPLETE
2,2,9.2,2023-04-19 10:05:15.184326,2023-04-19 10:05:30.724237,0 days 00:00:15.539911,tanh,7,0.00020483102779548962,0.3796613412509197,0.5241536079457982,small,0.9997951689722046,128,COMPLETE
3,3,128.5,2023-04-19 10:05:30.725046,2023-04-19 10:05:46.685731,0 days 00:00:15.960685,relu,9,0.0009564412534006277,8.378407961683863e-05,1.7520564513761299,small,0.9990435587465993,512,COMPLETE
4,4,484.6,2023-04-19 10:05:46.686574,2023-04-19 10:06:03.642653,0 days 00:00:16.956079,relu,6,0.0031533912937262306,0.0011476323915598928,1.364085135625449,small,0.9968466087062737,64,COMPLETE
5,5,500.0,2023-04-19 10:06:03.643344,2023-04-19 10:06:22.116242,0 days 00:00:18.472898,relu,4,0.004502636054070095,0.0008054036740094505,1.1340373019269334,tiny,0.9954973639459299,16,COMPLETE
6,6,39.5,2023-04-19 10:06:22.116933,2023-04-19 10:06:32.644424,0 days 00:00:10.527491,relu,3,0.009119365096256908,1.275345600159608e-05,4.6292760070403025,tiny,0.9908806349037431,8,PRUNED
7,7,331.6,2023-04-19 10:06:32.645011,2023-04-19 10:06:49.278486,0 days 00:00:16.633475,relu,5,0.00010765104079880103,0.004985946095268482,0.7683739549254663,tiny,0.9998923489592012,32,COMPLETE
8,8,18.9,2023-04-19 10:06:49.279216,2023-04-19 10:06:59.991143,0 days 00:00:10.711927,tanh,3,0.01077037927270764,0.002600903790347294,1.000449788072166,tiny,0.9892296207272924,8,PRUNED
9,9,73.6,2023-04-19 10:06:59.991719,2023-04-19 10:07:07.719662,0 days 00:00:07.727943,relu,7,0.0007979742904719679,0.00030901550265063205,1.8516417450029505,tiny,0.999202025709528,128,PRUNED
10,10,500.0,2023-04-19 10:07:07.720286,2023-04-19 10:07:25.126806,0 days 00:00:17.406520,tanh,5,0.014383158626481707,0.020359975170209568,0.31898139784463664,tiny,0.9856168413735182,32,COMPLETE
11,11,294.4,2023-04-19 10:07:25.127613,2023-04-19 10:07:42.615068,0 days 00:00:17.487455,tanh,5,0.014921378809335055,0.014154676211179471,0.30963621149528703,tiny,0.9850786211906649,32,COMPLETE
12,12,9.8,2023-04-19 10:07:42.615762,2023-04-19 10:07:51.011469,0 days 00:00:08.395707,tanh,5,0.003420986126147032,0.06865447810644577,0.6260017756711596,tiny,0.996579013873853,32,PRUNED
